Kategorie,Marke,Modell,Artikelgruppe,QualitaetVariante,Preis,BestandStatus,Angebotsartikel,Hinweis,Aktiv,Sortierung,AngebotsbannerAktiv,AngebotsbannerText,AngebotsbannerButton,AngebotsbannerZiel,AngebotsbannerStart,AngebotsbannerEnde,WhatsAppOffenbach,WhatsAppKassel,WhatsAppGoettingen,StandortOffenbachGoogleMaps,StandortKasselGoogleMaps,StandortGoettingenGoogleMaps
,,,,,,,,,,,Nein,iPhone 17 Pro Soft OLED jetzt im Angebot,Jetzt ansehen,iPhone 17 Pro,,,4915238242082,491772897314,,https://www.google.com/maps/search/?api=1&query=tradestation%20Offenbach%20am%20Main,https://www.google.com/maps/search/?api=1&query=tradestation%20Kassel,https://www.google.com/maps/search/?api=1&query=tradestation%20G%C3%B6ttingen
Smartphone,Apple,iPhone 8,Display,Incell HD,"9,00",Viel Bestand,Nein,,Ja,1010,,,,,,,,,,,,
Smartphone,Apple,iPhone 8,Display,FHD,,Auf Anfrage,Nein,,Ja,1020,,,,,,,,,,,,
Smartphone,Apple,iPhone 8,Akku,Akku,,Auf Anfrage,Nein,,Ja,1050,,,,,,,,,,,,
Smartphone,Apple,iPhone 8 Plus,Display,Incell HD,,Auf Anfrage,Nein,,Ja,2010,,,,,,,,,,,,
Smartphone,Apple,iPhone 8 Plus,Display,FHD,,Auf Anfrage,Nein,,Ja,2020,,,,,,,,,,,,
Smartphone,Apple,iPhone 8 Plus,Akku,Akku,,Auf Anfrage,Nein,,Ja,2050,,,,,,,,,,,,
Smartphone,Apple,iPhone X,Display,Incell HD,"10,00",Viel Bestand,Nein,,Ja,3010,,,,,,,,,,,,
Smartphone,Apple,iPhone X,Display,FHD,"12,00",Viel Bestand,Nein,,Ja,3020,,,,,,,,,,,,
Smartphone,Apple,iPhone X,Display,Hard OLED,"20,00",Wenig Bestand,Nein,,Ja,3030,,,,,,,,,,,,
Smartphone,Apple,iPhone X,Display,Soft OLED,,Auf Anfrage,Nein,,Ja,3040,,,,,,,,,,,,
Smartphone,Apple,iPhone X,Akku,Akku,,Auf Anfrage,Nein,,Ja,3050,,,,,,,,,,,,
Smartphone,Apple,iPhone XR,Display,Incell HD,"10,00",Wenig Bestand,Nein,,Ja,4010,,,,,,,,,,,,
Smartphone,Apple,iPhone XR,Display,FHD,"12,50",Viel Bestand,Nein,,Ja,4020,,,,,,,,,,,,
Smartphone,Apple,iPhone XR,Akku,Akku,,Auf Anfrage,Nein,,Ja,4050,,,,,,,,,,,,
